"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2060,2056,182,2092,2200,178,2142,2364,174,2468,2611,176
"Belgium",NA,NA,NA,2233,2421,168,2235,2482,163,2126,2311,170
"Bulgaria",317,129,182,441,168,176,652,290,167,731,350,183
"Croatia",NA,NA,NA,NA,NA,NA,1024,721,171,NA,NA,NA
"Cyprus",1269,1163,175,1081,1637,180,1763,1566,183,1431,1289,172
"Czech Rep.",814,421,171,976,593,172,1023,740,173,1174,748,172
"Denmark",1883,2425,128,1897,2602,123,2116,2890,116,2137,2973,118
"Estonia",763,399,187,1034,661,176,1128,775,173,1395,1055,188
"Finland",1722,2042,169,1983,2313,169,2184,2610,168,2282,2791,168
"France",1412,1417,147,1528,1693,154,1520,1708,152,1734,1867,154
"Germany",2154,2228,167,2074,2132,164,1914,1999,162,2412,2447,166
"Greece",1121,936,180,1356,1164,178,1513,1393,171,1423,1216,173
"Hungary",763,409,188,868,518,187,952,569,171,1092,628,178
"Iceland",1867,2445,207,1970,2954,193,1740,1859,165,1875,2212,163
"Ireland",1651,1946,167,2163,2614,182,2221,2455,170,2218,2712,168
"Italy",1530,1437,182,1585,1622,180,1727,1768,170,1803,1856,183
"Latvia",538,271,178,714,411,174,558,507,154,972,682,167
"Lithuania",600,295,178,947,512,176,NA,NA,NA,1079,677,183
"Luxembourg",2045,2093,181,2047,2298,175,2091,2529,174,2447,2947,190
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,168,781,363,183
"Malta",1504,1086,204,675,1084,NA,1549,1133,195,1540,1245,177
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,931,517,175
"Netherlands",1748,1783,163,1756,1872,158,1993,2220,169,1850,2031,157
"Norway",2091,3055,163,2516,3336,164,2663,3933,163,2960,4335,159
"Poland",770,455,188,857,498,180,1120,669,174,1437,803,188
"Portugal",879,673,172,940,764,175,1016,842,175,1016,827,175
"Romania",357,147,191,473,236,180,745,369,177,743,395,188
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,862,435,186
"Slovakia",768,334,173,688,469,172,937,627,165,1142,774,172
"Slovenia",NA,NA,178,1160,866,180,1266,1065,168,1451,1185,180
"Spain",1471,1254,183,1590,1436,172,1699,1599,172,1836,1695,172
"Sweden",1679,2102,172,1975,2380,170,2127,2631,170,2507,3148,170
"Switzerland",NA,NA,NA,NA,NA,NA,2476,3552,177,2968,4419,178
"Turkey",NA,NA,NA,720,415,205,NA,NA,NA,885,529,204
"United Kingdom",1923,2208,178,2103,2373,184,1869,1975,183,1918,2330,181
