"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,461,205,150,738,353,160
"Croatia","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",547,283,158,NA,NA,198,1098,794,179,1028,655,162
"Denmark","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",1263,1627,84,1674,2296,112,1749,2389,95,1790,2490,104
"Estonia","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,1674,2000,160,1848,2260,163
"France","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,2139,118
"Germany","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",1091,1129,82,650,668,52,950,992,81,1450,1472,112
"Greece","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",578,310,NA,1027,613,134,NA,NA,NA,1248,718,162
"Iceland","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,1251,1280,158,NA,NA,NA
"Latvia","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,472,272,172,NA,NA,NA,NA,NA,NA
"Lithuania","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,1645,1833,NA,1345,1477,97
"Norway","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,2095,3093,150,2679,3924,146
"Poland","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,975,545,176
"Portugal","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1072,873,166
"Romania","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,544,289,184
"Serbia","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovenia","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,948,892,122,1116,1030,134
"Sweden","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Switzerland","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,3938,5862,163
"Turkey","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Kingdom","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Total",1461,1677,143,1363,1538,135,1313,1388,129,1292,1570,141
